fighter,bjj_belt_rank,judo_belt_rank,master_of_sport,olympic_wrestler,olympic_judo,wrestling_background,bjj_background,other_styles_summary,wiki_url
Kyoji Horiguchi,black belt,black belt,No,No,No,,"team krazy bee (2009–2015) [ 5 ] american top team (2015–present) [ 6 ] trainer norifumi yamamoto mike brown rank a-class shootist 2nd degree black belt in shotokan karate [ 7 ] years active 2010–present mixed martial arts record total 40 wins 34 by knockout 15 by submission 5 by decision 14 losses 5 by knockout 2 by submission 1 by decision 2 no contests 1 other information website https://horiguchikyoji.com/ mixed martial arts record from sherdog kyoji horiguchi ( japanese : 堀口 恭司 , horiguchi kyōji ; born october 12, 1990) is a japanese mixed martial artist [ 8 ] currently signed to the ultimate fighting championship .","kyoji horiguchi - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 background 2 mixed martial arts career toggle mixed martial arts career subsection 2.1 shooto 2.2 ultimate fighting championship 2.3 rizin fighting federation 2.4 bellator mma 2.5 return to rizin and flyweight 2.6 return to the ufc 3 championships and accomplishments toggle championships and accomplishments subsection 3.1 mixed martial arts 4 mixed martial arts record toggle mixed martial arts record subsection 4.1 amateur mixed martial arts record 5 kickboxing record 6 see also 7 references 8 external links toggle the table of contents kyoji horiguchi 10 languages العربية فارسی français italiano 日本語 polski português русский svenska 中文 edit links article talk english read edit view history tools tools move to sidebar hide actions read edit view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikimedia commons wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia japanese mixed martial artist kyoji horiguchi born ( 1990-10-12 ) october 12, 1990 (age 34) takasaki, gunma , japan native name 堀口恭司 other names the supernova (former), [ 1 ] the typhoon [ 2 ] nickname the typhoon residence takasaki, gunma , japan height 5 ft 5 in (1.65 m) [ 3 ] weight 135 lb (61 kg; 9 st 9 lb) division bantamweight flyweight reach 66 in (168 cm) [ 4 ] style shotokan karate , kickboxing , shootfighting fighting out of coconut creek, florida , u.s. | team krazy bee (2009–2015) [ 5 ] american top team (2015–present) [ 6 ] trainer norifumi yamamoto mike brown rank a-class shootist 2nd degree black belt in shotokan karate [ 7 ] years active 2010–present mixed martial arts record total 40 wins 34 by knockout 15 by submission 5 by decision 14 losses 5 by knockout 2 by submission 1 by decision 2 no contests 1 other information website https://horiguchikyoji.com/ mixed martial arts record from sherdog kyoji horiguchi ( japanese : 堀口 恭司 , horiguchi kyōji ; born october 12, 1990) is a japanese mixed martial artist [ 8 ] currently signed to the ultimate fighting championship . | [ 12 ] background [ edit ] horiguchi began training in karate at the age of five and was talented, as he soon began competing in full-contact competitions and went on to become a regional champion.",https://en.wikipedia.org/wiki/Kyoji_Horiguchi
Chris Curtis,purple belt,purple belt,No,No,No,"chris curtis at ufc professional mma record for chris curtis from sherdog retrieved from "" https://en.wikipedia.org/w/index.php?title=chris_curtis_(fighter)&oldid=1301371374 "" categories : 1987 births living people middleweight mixed martial artists mixed martial artists utilizing boxing mixed martial artists utilizing brazilian jiu-jitsu mixed martial artists utilizing wrestling american male mixed martial artists american male boxers american practitioners of brazilian jiu-jitsu ultimate fighting championship male fighters sportspeople from cincinnati mixed martial artists from ohio hidden categories: cs1 dutch-language sources (nl) cs1 spanish-language sources (es) articles with short description short description is different from wikidata use mdy dates from august 2021 commons category link from wikidata this page was last edited on 19 july 2025, at 12:30 (utc) .","team vision mma (formerly) [ 3 ] son of siam (until 2017) [ 4 ] team quest (2015–2019) [ 3 ] [ 5 ] syndicate mma (2019–present) [ 5 ] xtreme couture (2019–present) [ 5 ] rank purple belt in brazilian jiu-jitsu [ 6 ] years active 2009–present professional boxing record total 2 wins 2 by knockout 1 losses 0 mixed martial arts record total 45 wins 32 by knockout 17 by submission 1 by decision 14 losses 12 by knockout 2 by submission 1 by decision 9 no contests 1 other information boxing record from boxrec mixed martial arts record from sherdog christopher alan curtis [ 1 ] (born july 15, 1987) is an american professional mixed martial artist and former boxer . | chris curtis at ufc professional mma record for chris curtis from sherdog retrieved from "" https://en.wikipedia.org/w/index.php?title=chris_curtis_(fighter)&oldid=1301371374 "" categories : 1987 births living people middleweight mixed martial artists mixed martial artists utilizing boxing mixed martial artists utilizing brazilian jiu-jitsu mixed martial artists utilizing wrestling american male mixed martial artists american male boxers american practitioners of brazilian jiu-jitsu ultimate fighting championship male fighters sportspeople from cincinnati mixed martial artists from ohio hidden categories: cs1 dutch-language sources (nl) cs1 spanish-language sources (es) articles with short description short description is different from wikidata use mdy dates from august 2021 commons category link from wikidata this page was last edited on 19 july 2025, at 12:30 (utc) .","chris curtis (fighter) - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 early life 2 mixed martial arts career toggle mixed martial arts career subsection 2.1 early career 2.2 dana white's tuesday night contender series and first retirement 2.3 professional fighters league 2.3.1 playoffs, second and third retirement 2.4 return from retirement and other organizations 2.5 ultimate fighting championship 3 personal life 4 championships and achievements 5 mixed martial arts record 6 professional boxing record 7 see also 8 references 9 external links toggle the table of contents chris curtis (fighter) 5 languages العربية español 日本語 português русский edit links article talk english read edit view history tools tools move to sidebar hide actions read edit view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikimedia commons wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia american mixed martial artist (born 1987) chris curtis chris curtis in 2022 born christopher alan curtis [ 1 ] ( 1987-07-15 ) july 15, 1987 (age 38) cincinnati, ohio , u.s. | team vision mma (formerly) [ 3 ] son of siam (until 2017) [ 4 ] team quest (2015–2019) [ 3 ] [ 5 ] syndicate mma (2019–present) [ 5 ] xtreme couture (2019–present) [ 5 ] rank purple belt in brazilian jiu-jitsu [ 6 ] years active 2009–present professional boxing record total 2 wins 2 by knockout 1 losses 0 mixed martial arts record total 45 wins 32 by knockout 17 by submission 1 by decision 14 losses 12 by knockout 2 by submission 1 by decision 9 no contests 1 other information boxing record from boxrec mixed martial arts record from sherdog christopher alan curtis [ 1 ] (born july 15, 1987) is an american professional mixed martial artist and former boxer . | [ 66 ] professional boxing record [ edit ] 2 fights 2 wins 0 losses by knockout 1 0 by decision 1 0 no.",https://en.wikipedia.org/wiki/Chris_Curtis_(fighter)
Tecia Pennington,"black belt, blue belt","black belt, blue belt",No,No,No,,"other names the tiny tornado height 5 ft 1 in (1.55 m) [ 1 ] weight 115 lb (52 kg; 8.2 st) division strawweight reach 60 + 1 ⁄ 2 in (154 cm) [ 2 ] style taekwondo , muay thai , karate , brazilian jiu-jitsu fighting out of colorado springs , u.s. | team american top team rank black belt in karate [ 3 ] black belt in jhoon-rhee taekwondo [ 3 ] [ 4 ] blue belt in brazilian jiu-jitsu [ 5 ] [ 4 ] years active 2011–present mixed martial arts record total 22 wins 15 by knockout 1 by submission 1 by decision 13 losses 7 by decision 7 amateur record total 7 wins 7 by submission 2 by decision 5 losses 0 other information spouse raquel pennington ​ ( m. | she began in taekwondo as a child, and received her black belt after twelve years practicing the sport.","other names the tiny tornado height 5 ft 1 in (1.55 m) [ 1 ] weight 115 lb (52 kg; 8.2 st) division strawweight reach 60 + 1 ⁄ 2 in (154 cm) [ 2 ] style taekwondo , muay thai , karate , brazilian jiu-jitsu fighting out of colorado springs , u.s. | team american top team rank black belt in karate [ 3 ] black belt in jhoon-rhee taekwondo [ 3 ] [ 4 ] blue belt in brazilian jiu-jitsu [ 5 ] [ 4 ] years active 2011–present mixed martial arts record total 22 wins 15 by knockout 1 by submission 1 by decision 13 losses 7 by decision 7 amateur record total 7 wins 7 by submission 2 by decision 5 losses 0 other information spouse raquel pennington ​ ( m. | she began in taekwondo as a child, and received her black belt after twelve years practicing the sport.",https://en.wikipedia.org/wiki/Tecia_Pennington
Cory Sandhagen,brown belt,brown belt,No,No,No,"""ufc nashville: cory sandhagen dominates font with wrestling after early torn tricep injury"" .","team high altitude martial arts (2010–present) [ 3 ] elevation fight team (2017–2024) [ 4 ] forge fight club (2024–present) [ 5 ] rank brown belt in brazilian jiu-jitsu under eliot marshall [ 6 ] years active 2015–present mixed martial arts record total 23 wins 18 by knockout 8 by submission 3 by decision 7 losses 5 by submission 1 by decision 4 other information university university of colorado boulder [ 3 ] mixed martial arts record from sherdog cory james sandhagen (born april 20, 1992) is an american professional mixed martial artist . | "" ""brown belt last night (...)"" "" . | montel jackson updated to 29 july 2025 retrieved from "" https://en.wikipedia.org/w/index.php?title=cory_sandhagen&oldid=1303786443 "" categories : american male mixed martial artists 1992 births living people bantamweight mixed martial artists featherweight mixed martial artists mixed martial artists utilizing boxing mixed martial artists utilizing kickboxing mixed martial artists utilizing brazilian jiu-jitsu mixed martial artists from colorado ultimate fighting championship male fighters american practitioners of brazilian jiu-jitsu sportspeople from aurora, colorado university of colorado boulder alumni 21st-century american sportsmen hidden categories: cs1 russian-language sources (ru) articles with dutch-language sources (nl) cs1 maint: multiple names: authors list articles with short description short description is different from wikidata articles using sports links with data from wikidata this page was last edited on 2 august 2025, at 02:01 (utc) .","[ 8 ] sandhagen began martial arts training as a child, starting with taekwondo . | his instructors didn't allow punches, so sandhagen switched to kickboxing. | in kickboxing, sandhagen won multiple wka titles including a wka world title.",https://en.wikipedia.org/wiki/Cory_Sandhagen
Miranda Maverick,black belt,black belt,No,No,No,"[ 6 ] she also joined her high school wrestling team at buffalo high school in buffalo, missouri her senior year and competed on the men's varsity team until discovering that she would not be going to college for wrestling. | she then stopped to focus on wrestling, instead turning her sights on mma soon after she graduated high school. | ""miranda maverick sticks to wrestling, earns decision over horth"" .","[ 1 ] team the house of muay thai (2018–2021) [ 2 ] semerzier bjj [ 3 ] team elevation (2021–present) [ 4 ] trainer jake chamberlain, mackens semerzier [ 3 ] rank black belt in brazilian jiu-jitsu [ 5 ] years active 2016–present mixed martial arts record total 21 wins 15 by knockout 1 by submission 7 by decision 7 losses 6 by decision 6 other information university old dominion university [ 6 ] drury university [ 6 ] mixed martial arts record from sherdog miranda rachelle maverick [ 7 ] (born july 1, 1997) is an american mixed martial artist who competes in the women's flyweight division of the ultimate fighting championship (ufc). | [ 57 ] grappling career [ edit ] maverick won a silver medal in the brown belt lightweight division of the ibjjf no-gi world championship 2023. | ""miranda maverick promoted to bjj black belt"" .","[ 1 ] team the house of muay thai (2018–2021) [ 2 ] semerzier bjj [ 3 ] team elevation (2021–present) [ 4 ] trainer jake chamberlain, mackens semerzier [ 3 ] rank black belt in brazilian jiu-jitsu [ 5 ] years active 2016–present mixed martial arts record total 21 wins 15 by knockout 1 by submission 7 by decision 7 losses 6 by decision 6 other information university old dominion university [ 6 ] drury university [ 6 ] mixed martial arts record from sherdog miranda rachelle maverick [ 7 ] (born july 1, 1997) is an american mixed martial artist who competes in the women's flyweight division of the ultimate fighting championship (ufc). | ^ a b c ""the house of muay thai"" .",https://en.wikipedia.org/wiki/Miranda_Maverick
Ilia Topuria,black belt,black belt,No,No,No,"[ 10 ] [ 18 ] at the age of seven, topuria moved to georgia with his family and started practicing greco-roman wrestling at a local school. | wrestling on fannation . | joel álvarez updated to 29 july 2025 retrieved from "" https://en.wikipedia.org/w/index.php?title=ilia_topuria&oldid=1305011062 "" categories : 1997 births living people male mixed martial artists from georgia (country) spanish male mixed martial artists featherweight mixed martial artists mixed martial artists utilizing greco-roman wrestling mixed martial artists utilizing brazilian jiu-jitsu emigrants from georgia (country) to spain mingrelians sportspeople of georgian descent ultimate fighting championship male fighters spanish practitioners of brazilian jiu-jitsu brazilian jiu-jitsu practitioners from georgia (country) people awarded a black belt in brazilian jiu-jitsu people from halle (westfalen) recipients of the order of honor (georgia) ultimate fighting championship champions 21st-century spanish sportsmen hidden categories: cs1 georgian-language sources (ka) cs1 spanish-language sources (es) webarchive template wayback links cs1 errors: generic title cs1 dutch-language sources (nl) all articles with dead external links articles with dead external links from august 2025 articles with permanently dead external links cs1 maint: numeric names: authors list articles with short description short description is different from wikidata wikipedia temporarily semi-protected biographies of living people biography with signature articles with hcards articles containing georgian-language text commons category link is on wikidata this page was last edited on 9 august 2025, at 14:22 (utc) .","ilia topuria - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 background 2 mixed martial arts career toggle mixed martial arts career subsection 2.1 early career 2.2 ultimate fighting championship 2.2.1 ufc featherweight champion 2.2.2 vacating title 2.2.3 ufc lightweight champion 3 fighting style 4 personal life 5 championships and accomplishments toggle championships and accomplishments subsection 5.1 mixed martial arts 6 mixed martial arts record 7 pay-per-view bouts 8 see also 9 references 10 external links toggle the table of contents ilia topuria 27 languages العربية azərbaycanca català čeština deutsch español euskara فارسی français 한국어 bahasa indonesia italiano ქართული მარგალური 日本語 polski português română русский shqip slovenčina српски / srpski suomi svenska türkçe українська 中文 edit links article talk english read view source view history tools tools move to sidebar hide actions read view source view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikimedia commons wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia georgian and spanish mixed martial artist (born 1997) ilia topuria topuria in 2024 born ( 1997-01-21 ) january 21, 1997 (age 28) halle , germany native name ილია თოფურია [ 1 ] other names el matador nationality georgian [ 2 ] spanish [ 3 ] height 5 ft 7 in (170 cm) [ 4 ] [ 5 ] [ 6 ] weight 155 lb (70 kg; 11 st 1 lb) division bantamweight (2018) featherweight (2015–2021, 2022–2025) lightweight (2022, 2025-) reach 69 in (175 cm) [ 7 ] stance orthodox fighting out of alicante , spain team climent club (2012–2025) [ 8 ] [ 9 ] topuria team (2025–present) rank black belt in brazilian jiu-jitsu under jorge and agustín climent [ 10 ] [ 8 ] years active 2015–present mixed martial arts record total 17 wins 17 by knockout 7 by submission 8 by decision 2 losses 0 other information website iliatopuriaoficial .com mixed martial arts record from sherdog signature ilia topuria ( georgian : ილია თოფურია ; [ 11 ] born january 21, 1997) is a georgian [ 2 ] and spanish [ 3 ] professional mixed martial artist . | [ 22 ] in the same year, in may, he became the first georgian black belt in brazilian jiu-jitsu alongside his brother alex topuria. | [ 67 ] fighting style initially coming into the ufc organization with a strong base in brazilian jiu-jitsu , topuria dedicated himself to enhancing his stand-up game, developing a boxing -heavy approach under the guidance of experienced coaches.","[ 67 ] fighting style initially coming into the ufc organization with a strong base in brazilian jiu-jitsu , topuria dedicated himself to enhancing his stand-up game, developing a boxing -heavy approach under the guidance of experienced coaches. | his boxing style is marked by precise shot selection, fluid combinations, and remarkable power, which was on full display during his knockout victories over alexander volkanovski , max holloway , and charles oliveira . | topuria's execution of boxing is strategic, using his footwork and positioning to set up clean, fight-altering punches.",https://en.wikipedia.org/wiki/Ilia_Topuria
Jacqueline Cavalcanti,,,No,No,No,,,,https://en.wikipedia.org/wiki/Jacqueline_Cavalcanti
Islam Dulatov,,,No,No,No,,,,https://en.wikipedia.org/wiki/Islam_Dulatov
